,W/O PEP,CD8-6,CD8-7,Iab(+),CD8(-)-1,CD8-2,CD8-1,CD8(-)-2,CD8 (+),CD8-3,CD8-4,CD8-8,CD4-2,CD8-5,CD4-1,pooled pep,PMA/Ionomycin,SARS-CoV CD8 pool,SARS-CoV CD4 pool
PBS1,0,0,0,0,0.00026,0.00009,0.00049,0.00029,0,0.00028,0.00027,0.00029,0.00006,0,0.00006,0.00027,0.08086,0,0.00026
PBS2,0.00007,0.00048,0.00073,0,0.00028,0.00031,0.0007,0.00008,0.00072,0.00008,0.00106,0.00027,0.00052,0.00073,0.00075,0.00008,0.05836,0.00028,0.00007
PBS3,0.00007,0,0,0,0.00005,0,0.00024,0.00005,0,0.00006,0.00043,0.00007,0.00006,0.00004,0.00024,0.00006,0.06436,0.00022,0
MIT1,0,0,0,3.66667E-07,2.03667E-05,0.000210367,0.000190367,0.000330367,0.000240367,0.000200367,0.000280367,0.001060367,0.000330367,0.000150367,0.000120367,0.000710367,0.069260367,0.000400367,0.002460367
MIT2,0.000200367,0.000360367,0.000230367,0.000570367,0.000360367,0.000510367,0.000510367,0.000160367,0.000800367,0.000700367,0.001360367,0.001460367,0.000960367,0.000540367,0.000860367,0.000760367,0.075960367,0.002260367,0.002960367
MIT3,0,-9.63333E-06,0,5.03667E-05,5.03667E-05,-1.96333E-05,9.03667E-05,0.000140367,0,7.03667E-05,7.03667E-05,0.001460367,0.000410367,0.000170367,0.000200367,6.03667E-05,0.087560367,0.000260367,0.001560367
BNT1,0,0,0,0.000113033,0.000103033,0.000213033,1.30333E-05,0.000463033,0.000503033,-3.69667E-05,0.000133033,-1.69667E-05,-3.69667E-05,0,3.30333E-05,-4.69667E-05,0.071523033,0.000103033,0.000123033
BNT2,7.30333E-05,0.000103033,0,0,0,0.000423033,1.30333E-05,0.000313033,0.000313033,0.000223033,0.000413033,0,0,0.000293033,1.30333E-05,0.000103033,0.061023033,0.000393033,0
BNT3,0.000123033,0.000323033,1.30333E-05,1.30333E-05,0,3.03333E-06,0,0,0.000283033,0,-6.96667E-06,0.000583033,0,9.30333E-05,0.000103033,3.03333E-06,0.159723033,1.30333E-05,3.03333E-06
