,W/O PEP,CD8-6,CD8-7,Iab(+),CD8(-)-1,CD8-2,CD8-1,CD8(-)-2,CD8 (+),CD8-3,CD8-4,CD8-8,CD4-2,CD8-5,CD4-1,pooled pep,PMA/Ionomycin,SARS-CoV CD8 pool,SARS-CoV CD4 pool
PBS1,0,0,0,0,0.0004,0.00023,0.00021,0.00022,0.00064,0.00063,0,0,0,0,0.0006,0.00041,0.0607,0.00082,0
PBS2,0,0.00021,0.00022,0.00022,0.00021,0.00045,0.00042,0.00022,0.00043,0.00022,0.001,0.00021,0.00044,0,0,0,0.0372,0,0.00021
PBS3,0,0,0.00019,0,0.0017,0.00059,0.00057,0.00019,0.00038,0.00059,0.0013,0.00041,0.00039,0.00036,0.00019,0.0006,0.0515,0.00036,0
MIT1,0,0.0004,0.00014,0.00066,0.00097,0.00043,0.00077,0.00075,0.0019,0.0012,0.0025,0.0026,0.0011,0.00029,0.00032,0.00085,0.0394,0.00036,0.00074
MIT2,0.000376667,0.000296667,0.000476667,0.000256667,0.000376667,0.000756667,0.000476667,0.000756667,0,0.000126667,0.000446667,0.001556667,0.000626667,0.000166667,0.000406667,0.000496667,0.062756667,0.000116667,0.000756667
MIT3,0.000376667,0.000296667,0.000476667,0.000256667,0.000376667,0.000756667,0.000476667,0.000756667,0,0.000126667,0.000446667,0.001556667,0.000626667,0.000166667,0.000406667,0.000496667,0.062756667,0.000116667,0.000756667
BNT1,0.00022,0,0,0.00012,0.00042,0.00165,0.00575,0.00006,0.00019,0.00013,0.0003,0.00034,0.00004,0.00045,0.00026,0.00004,0.06275,0.00003,0
BNT2,0,0,0,0,0.00003,0.00015,0.00085,0,0,0,0,0,0,0,0.00004,0,0.03945,0,0
BNT3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09645,0,0
