,W/O PEP,CD8-6,CD8-7,Iab(+),CD8(-)-1,CD8-2,CD8-1,CD8(-)-2,CD8 (+),CD8-3,CD8-4,CD8-8,CD4-2,CD8-5,CD4-1,pooled pep,PMA/Ionomycin,SARS-CoV CD8 pool,SARS-CoV CD4 pool
PBS1,0,0,6.33333E-05,0,5.33333E-05,8.33333E-05,0.000333333,0.000893333,0.000343333,0,7.33333E-05,8.33333E-05,0,0,0,0.000623333,0.202793333,0.000343333,6.33333E-05
PBS2,0.000413333,0,0,0.000123333,0.000113333,0.000793333,0,0,0.000433333,0.000443333,0,0,0,0,0.000103333,0,0.130793333,0.000113333,0.000123333
PBS3,0,3.33333E-05,6.33333E-05,5.33333E-05,0.000553333,0.000343333,0.000603333,7.33333E-05,0.000303333,6.33333E-05,0.002093333,8.33333E-05,0.000313333,0.001293333,4.33333E-05,5.33333E-05,0.187793333,5.33333E-05,0
MIT1,-2.39333E-05,0.000136067,8.60667E-05,0.000896067,0.000626067,0.000296067,0.000796067,0.000706067,0.002296067,0.001396067,0.003296067,0.003896067,0.001796067,-1.39333E-05,0.000186067,0.004596067,0.162796067,0.002196067,0.002096067
MIT2,0,7.60667E-05,0,0.000146067,0,0.000206067,8.60667E-05,0.000216067,0.000146067,0,0.004796067,0.002096067,0.001396067,2.60667E-05,-1.39333E-05,0.008696067,0.198796067,0.004596067,0.001996067
MIT3,0.000136067,0.000996067,0.000646067,0.000796067,0.000536067,0.000316067,0.000676067,0.001196067,0,0.000796067,0.003296067,0.001496067,0.000556067,0.000586067,0.000306067,0.004296067,0.209796067,0.000896067,0.001596067
BNT1,6.66667E-05,0.000166667,0.000156667,0.000266667,0.000546667,0.001366667,0.002566667,0.000276667,0.000166667,6.66667E-05,0.001366667,0.000306667,0.000166667,0.000236667,-3.33333E-05,0.001166667,0.087366667,0.001066667,0.000166667
BNT2,-3.33333E-05,-3.33333E-05,-3.33333E-05,6.66667E-05,0.000166667,0.000596667,0.000966667,-3.33333E-05,0.000276667,-3.33333E-05,0.000176667,-3.33333E-05,0.000276667,6.66667E-05,0.000266667,0.000686667,0.159966667,0.000276667,0.000286667
BNT3,-3.33333E-05,8.66667E-05,6.66667E-05,0.000176667,6.04667E-05,0.000166667,6.66667E-05,6.66667E-05,-3.33333E-05,-3.33333E-05,0.000586667,0.000286667,-3.33333E-05,0.000176667,7.66667E-05,0.000276667,0.189966667,0.000836667,6.66667E-05
